glucose_level,meal,food_type,food_amount,exercise_duration,medication,body_temp,heart_rate,time_of_day,insulin_required
98,lunch,carbs,184,80,yes,36.6,96,afternoon,5.8
211,lunch,protein,179,38,no,36.7,78,evening,15.5
96,dinner,mixed,528,47,no,37.1,75,morning,17.7
83,lunch,carbs,143,3,no,36.5,116,afternoon,17.6
135,lunch,protein,454,44,no,36.9,80,night,13.2
74,snack,fats,185,11,yes,36.5,93,night,14.3
98,snack,carbs,124,71,no,36.9,114,evening,6.9
193,breakfast,mixed,465,14,yes,36.1,65,evening,19.2
81,dinner,fats,325,67,yes,37.3,79,afternoon,5.4
221,snack,mixed,543,3,no,36.3,113,evening,17.2
90,snack,carbs,468,88,no,36.5,75,evening,2.4
222,dinner,protein,553,54,no,37.1,107,morning,15.3
189,lunch,protein,451,66,yes,36.6,97,afternoon,9.4
79,breakfast,protein,360,30,yes,37.1,71,night,16.2
190,breakfast,mixed,577,43,no,36.7,106,evening,12.8
122,breakfast,mixed,410,28,yes,37.4,89,morning,15.0
88,lunch,mixed,185,25,no,36.8,76,afternoon,5.6
106,breakfast,mixed,481,27,no,36.3,87,evening,17.8
151,breakfast,carbs,211,34,yes,36.0,73,night,12.4
177,snack,carbs,393,73,yes,36.7,76,evening,16.6
159,lunch,mixed,115,2,no,37.5,77,morning,13.5
124,snack,mixed,116,8,yes,35.8,118,night,3.0
180,dinner,protein,146,76,no,37.2,81,morning,17.3
129,snack,carbs,131,75,no,36.7,94,evening,9.0
76,lunch,fats,240,41,yes,35.7,94,morning,15.3
161,snack,carbs,342,50,no,35.8,102,evening,10.7
216,lunch,fats,274,32,yes,37.4,117,morning,8.1
133,breakfast,mixed,283,31,no,36.7,119,evening,2.9
105,snack,carbs,138,12,no,35.7,86,morning,13.4
165,dinner,mixed,166,20,no,37.4,107,afternoon,2.4
133,lunch,carbs,527,27,no,35.8,90,morning,2.9
160,lunch,fats,318,87,no,35.4,103,morning,7.1
72,dinner,fats,261,80,no,37.3,76,night,13.7
236,snack,mixed,284,0,yes,36.1,72,night,2.4
202,breakfast,mixed,586,1,no,35.8,75,evening,18.5
232,dinner,protein,339,72,yes,35.9,91,morning,7.6
224,dinner,mixed,480,25,no,35.7,96,night,19.9
105,dinner,mixed,134,37,yes,36.8,117,afternoon,6.2
87,breakfast,protein,110,84,no,36.2,103,evening,6.7
89,dinner,carbs,456,69,yes,36.9,99,night,18.9
174,breakfast,fats,484,24,no,37.7,84,night,11.4
230,lunch,carbs,397,20,no,36.0,116,afternoon,7.4
236,snack,fats,564,48,yes,37.3,112,morning,7.9
116,lunch,mixed,326,26,no,36.8,116,night,4.7
137,dinner,fats,560,61,yes,36.6,96,afternoon,10.5
87,breakfast,fats,535,56,no,35.9,64,morning,14.4
79,dinner,mixed,518,1,yes,36.4,63,morning,18.1
121,breakfast,mixed,350,57,yes,36.2,81,night,14.1
182,dinner,carbs,196,29,yes,36.5,102,afternoon,10.0
224,dinner,fats,210,54,no,37.4,79,afternoon,16.2
73,breakfast,mixed,440,52,no,35.6,79,morning,17.3
119,dinner,fats,574,41,yes,37.3,118,night,12.6
247,lunch,protein,423,50,no,37.4,108,morning,17.1
98,breakfast,carbs,145,23,no,36.4,108,morning,15.6
88,snack,protein,565,15,yes,37.0,60,morning,14.3
190,lunch,fats,479,73,no,36.5,106,night,18.2
185,breakfast,fats,560,48,yes,36.9,119,night,17.9
97,lunch,protein,519,6,yes,36.8,65,morning,19.1
219,dinner,mixed,549,60,no,35.6,65,morning,3.5
213,snack,carbs,450,54,no,36.3,63,night,16.2
225,snack,carbs,348,37,yes,37.4,94,morning,11.5
146,dinner,protein,300,66,yes,36.8,95,morning,3.2
161,snack,mixed,430,64,yes,36.4,60,night,15.6
142,lunch,fats,388,29,yes,36.9,79,morning,10.8
125,lunch,protein,469,72,yes,36.4,76,night,11.2
143,dinner,fats,541,62,yes,37.2,113,night,14.6
178,dinner,fats,568,47,no,35.9,85,evening,16.6
112,breakfast,fats,596,10,no,36.2,81,morning,17.6
122,dinner,protein,111,23,yes,36.6,86,evening,2.3
79,dinner,protein,396,19,yes,36.3,90,afternoon,2.8
140,breakfast,protein,495,38,yes,36.4,116,morning,7.8
89,breakfast,protein,247,69,yes,36.8,89,evening,7.5
183,breakfast,carbs,342,36,yes,36.0,83,night,14.5
206,breakfast,fats,149,71,yes,37.4,107,morning,14.5
200,lunch,carbs,187,34,no,37.7,84,afternoon,2.8
239,snack,protein,368,27,no,36.8,61,afternoon,15.9
97,dinner,fats,410,76,no,37.1,99,morning,4.7
200,snack,protein,486,86,yes,36.1,109,morning,8.3
138,breakfast,mixed,470,54,yes,36.5,117,night,11.1
205,snack,fats,556,69,no,36.2,86,morning,10.3
226,snack,mixed,236,50,no,36.7,71,afternoon,5.3
136,dinner,mixed,421,41,no,36.0,93,evening,4.9
72,breakfast,carbs,381,65,yes,37.3,63,morning,19.3
125,dinner,protein,328,86,no,36.7,110,evening,3.7
73,dinner,mixed,521,35,yes,37.3,97,afternoon,11.7
198,dinner,mixed,488,86,no,37.0,85,morning,18.7
197,breakfast,fats,487,18,no,36.2,76,night,11.9
154,snack,mixed,552,38,no,37.3,108,night,10.9
165,snack,carbs,515,86,yes,36.7,88,night,13.7
152,lunch,carbs,422,21,yes,37.1,81,morning,7.8
241,dinner,mixed,445,71,no,36.5,109,morning,18.0
168,snack,fats,333,12,no,36.9,78,morning,10.6
127,lunch,protein,314,49,no,36.2,91,night,18.1
204,dinner,carbs,114,44,no,35.3,82,morning,8.9
98,dinner,carbs,449,62,yes,36.8,70,night,18.7
245,snack,protein,404,59,yes,36.2,66,afternoon,4.9
139,dinner,mixed,582,57,yes,36.4,88,evening,15.9
157,breakfast,protein,240,78,yes,37.0,98,night,7.1
72,lunch,fats,308,78,no,37.8,118,night,3.1
93,breakfast,carbs,419,84,yes,36.5,95,night,10.2
214,breakfast,carbs,541,9,yes,36.8,68,afternoon,6.1
142,dinner,carbs,599,50,yes,36.1,82,morning,10.5
187,lunch,mixed,175,54,yes,36.4,105,night,17.7
242,breakfast,fats,247,75,no,36.2,86,afternoon,13.3
85,lunch,fats,414,33,no,36.4,113,night,11.4
93,breakfast,protein,594,0,no,36.3,61,afternoon,11.0
159,dinner,mixed,350,68,no,36.0,96,morning,2.8
153,dinner,protein,156,70,yes,36.6,95,night,17.5
155,breakfast,protein,500,10,no,36.4,105,evening,7.9
172,dinner,carbs,459,68,no,36.7,63,night,10.7
186,breakfast,carbs,307,76,yes,37.1,105,morning,3.7
147,snack,fats,371,53,yes,35.9,73,afternoon,16.7
187,breakfast,mixed,353,34,no,35.8,70,evening,3.6
135,snack,carbs,419,82,no,37.4,117,night,2.1
246,dinner,carbs,249,89,yes,37.1,72,night,6.8
180,breakfast,mixed,357,42,no,37.0,74,morning,9.3
140,snack,protein,303,46,yes,36.7,72,morning,3.3
136,breakfast,fats,229,5,yes,37.5,79,morning,3.8
88,breakfast,fats,427,63,no,36.7,114,evening,18.2
100,dinner,protein,119,52,no,35.4,119,afternoon,8.3
122,lunch,protein,442,72,yes,36.6,69,morning,11.4
155,breakfast,mixed,273,41,yes,37.4,103,afternoon,15.0
147,lunch,protein,349,37,no,37.3,74,afternoon,11.6
127,dinner,fats,255,13,no,36.9,118,night,17.5
180,snack,mixed,295,54,yes,36.7,88,afternoon,14.2
111,breakfast,carbs,509,39,yes,37.0,87,evening,13.5
182,lunch,mixed,586,45,no,36.3,109,evening,17.6
212,lunch,fats,486,1,no,36.7,70,night,10.5
118,lunch,protein,301,43,no,36.9,82,evening,18.0
209,snack,fats,307,40,no,36.3,79,morning,6.7
232,breakfast,carbs,403,53,no,37.2,111,evening,4.5
243,lunch,protein,526,60,yes,36.6,98,night,5.1
145,snack,protein,139,59,no,36.6,119,afternoon,4.4
130,lunch,protein,316,78,yes,36.4,85,afternoon,13.3
139,breakfast,mixed,461,21,yes,36.3,101,evening,15.6
113,snack,mixed,417,45,no,36.3,72,morning,5.9
223,breakfast,fats,405,45,no,36.2,112,night,16.1
155,snack,fats,247,79,yes,36.5,105,morning,14.8
108,dinner,fats,261,49,yes,37.3,102,morning,18.3
140,lunch,carbs,264,65,no,36.5,112,evening,7.6
129,breakfast,fats,402,36,yes,36.8,66,night,8.0
124,dinner,protein,333,54,yes,36.3,108,morning,8.6
163,snack,fats,116,13,yes,36.0,97,morning,14.8
241,snack,protein,288,64,no,37.0,96,night,5.0
172,dinner,protein,376,77,no,36.1,96,night,15.8
243,dinner,protein,260,49,no,36.8,72,evening,13.6
235,dinner,carbs,351,12,no,37.4,63,afternoon,11.8
187,dinner,carbs,403,17,no,37.0,94,evening,2.6
193,dinner,mixed,277,88,yes,36.5,88,evening,10.0
89,lunch,protein,465,44,no,36.5,65,morning,7.9
249,lunch,mixed,528,23,no,36.6,98,morning,10.8
100,dinner,protein,578,79,yes,36.0,78,afternoon,6.2
140,dinner,carbs,480,79,yes,36.5,70,morning,10.4
126,dinner,protein,362,72,yes,36.4,81,afternoon,19.8
78,lunch,protein,406,13,no,36.6,84,night,16.4
116,snack,fats,183,3,no,36.4,76,morning,11.8
154,snack,carbs,137,54,no,37.3,118,night,12.7
196,breakfast,carbs,271,11,no,36.8,106,evening,9.2
182,snack,carbs,368,66,yes,36.3,60,morning,16.2
183,lunch,fats,492,68,no,36.7,108,morning,14.6
101,lunch,protein,586,39,no,36.6,107,night,3.6
76,breakfast,mixed,419,29,no,36.5,81,morning,18.5
207,breakfast,fats,324,74,yes,37.0,97,morning,5.3
106,breakfast,mixed,356,3,yes,35.9,91,evening,17.0
70,dinner,fats,360,11,yes,36.2,73,morning,11.1
130,snack,protein,526,29,no,36.5,60,night,16.2
178,dinner,protein,518,35,yes,36.5,84,morning,20.0
209,breakfast,protein,460,86,yes,36.6,67,night,11.4
175,breakfast,mixed,454,27,no,36.8,118,evening,16.5
111,snack,protein,574,23,no,36.0,97,morning,7.5
209,lunch,fats,495,88,yes,36.5,99,afternoon,10.9
171,breakfast,mixed,456,71,yes,35.8,97,morning,15.1
194,breakfast,protein,589,28,no,36.5,97,morning,14.9
143,breakfast,carbs,333,12,yes,35.8,72,afternoon,11.6
150,snack,fats,124,33,no,36.9,60,afternoon,13.2
157,snack,fats,170,4,no,36.6,117,morning,15.3
95,breakfast,protein,107,8,no,36.5,111,morning,14.1
87,dinner,fats,582,59,yes,36.9,117,morning,15.0
87,dinner,protein,258,74,yes,37.0,108,night,17.9
134,breakfast,protein,308,88,yes,36.9,70,night,14.7
195,dinner,carbs,424,63,no,36.7,103,night,3.8
224,lunch,fats,466,52,no,36.8,105,evening,17.9
135,breakfast,fats,506,9,no,37.3,89,evening,3.3
196,breakfast,carbs,470,75,yes,37.2,113,evening,2.3
128,lunch,fats,479,18,no,36.7,93,evening,3.5
105,lunch,mixed,147,46,yes,36.5,88,evening,3.7
231,snack,carbs,317,88,yes,37.0,92,evening,5.4
209,dinner,fats,485,74,yes,36.3,76,afternoon,12.0
160,snack,carbs,202,63,yes,37.2,63,evening,18.1
165,lunch,protein,305,8,yes,36.2,86,afternoon,5.5
145,lunch,mixed,557,54,yes,36.0,62,night,17.0
95,snack,protein,162,54,no,36.5,103,afternoon,12.9
159,lunch,mixed,495,31,no,36.8,74,afternoon,2.5
106,lunch,carbs,308,7,yes,36.4,74,afternoon,11.2
172,dinner,fats,506,46,yes,35.9,63,evening,18.7
138,dinner,carbs,189,6,no,36.8,98,afternoon,8.1
187,snack,protein,369,89,yes,36.2,96,morning,5.8
99,lunch,fats,567,56,no,36.6,61,afternoon,15.3
84,snack,fats,349,78,yes,36.8,81,evening,13.9
176,breakfast,carbs,333,45,no,36.8,60,night,10.4
195,snack,mixed,116,31,yes,35.5,96,afternoon,10.4
109,lunch,carbs,461,13,yes,36.3,107,morning,14.0
75,breakfast,carbs,530,63,no,36.7,110,afternoon,18.8
140,lunch,fats,266,1,no,36.2,94,morning,17.1
182,breakfast,protein,522,36,no,36.5,95,morning,7.2
73,snack,mixed,419,49,no,37.1,118,night,16.3
249,breakfast,carbs,283,6,yes,36.4,60,afternoon,12.0
221,breakfast,carbs,596,33,yes,36.5,95,night,18.9
73,breakfast,carbs,525,56,yes,36.4,76,afternoon,15.1
201,dinner,fats,166,53,yes,36.1,114,morning,18.5
94,snack,carbs,420,28,yes,36.5,79,evening,4.6
138,snack,mixed,513,55,yes,36.8,99,afternoon,10.6
93,snack,fats,331,30,no,36.6,106,morning,10.4
128,breakfast,protein,416,76,no,36.5,73,morning,11.6
224,dinner,protein,247,19,no,36.6,65,morning,3.8
224,breakfast,fats,471,38,yes,36.2,107,afternoon,3.2
108,lunch,mixed,432,39,no,36.4,83,night,18.6
216,breakfast,fats,117,36,yes,36.1,98,morning,9.7
229,lunch,fats,510,20,no,36.7,75,afternoon,15.7
245,dinner,mixed,115,9,no,36.4,94,morning,14.6
173,snack,mixed,428,80,yes,36.8,110,evening,4.5
187,snack,protein,102,15,yes,36.4,65,afternoon,17.0
89,breakfast,protein,499,89,no,36.4,78,evening,6.2
77,lunch,protein,563,74,yes,36.8,94,night,19.4
106,breakfast,mixed,485,82,no,35.7,100,night,9.4
92,breakfast,protein,445,19,yes,37.2,78,night,4.0
114,snack,fats,453,37,no,37.0,76,morning,13.2
163,dinner,protein,223,82,no,36.2,81,morning,2.6
167,breakfast,mixed,228,72,no,36.7,97,morning,5.1
172,dinner,protein,354,67,no,36.4,101,morning,3.5
103,lunch,carbs,122,56,yes,36.4,107,morning,13.1
249,dinner,protein,400,64,no,36.1,111,night,7.5
238,breakfast,fats,120,63,yes,36.9,63,evening,10.4
222,snack,fats,146,68,no,36.3,102,night,17.6
216,snack,mixed,319,2,yes,35.7,68,afternoon,5.0
162,breakfast,protein,442,45,no,35.9,70,night,9.6
184,dinner,protein,474,30,yes,35.5,97,night,10.7
171,dinner,mixed,309,16,yes,36.2,108,night,12.4
164,breakfast,mixed,250,47,yes,36.9,110,evening,12.4
220,dinner,carbs,143,45,no,36.7,108,night,4.0
213,breakfast,carbs,225,23,yes,37.7,109,night,4.9
126,dinner,protein,578,89,yes,36.3,78,evening,10.7
246,dinner,mixed,304,58,no,36.4,99,night,10.8
137,snack,fats,344,67,no,36.0,75,morning,4.3
169,snack,mixed,385,24,yes,36.9,60,afternoon,7.9
131,snack,carbs,436,57,yes,37.1,68,afternoon,10.7
220,snack,fats,504,20,no,35.8,73,night,9.7
128,lunch,mixed,459,58,yes,36.9,61,afternoon,6.7
234,lunch,protein,475,11,no,37.0,99,night,6.0
244,breakfast,protein,429,3,yes,36.4,85,evening,10.2
156,dinner,fats,218,78,yes,36.5,70,afternoon,5.2
116,lunch,protein,334,44,yes,36.4,112,evening,17.1
249,dinner,carbs,375,89,yes,35.7,103,night,12.3
187,lunch,carbs,434,38,no,36.0,77,evening,6.1
243,dinner,mixed,295,25,no,36.9,118,morning,19.8
215,dinner,carbs,579,17,no,37.3,91,evening,15.3
99,snack,protein,512,76,yes,36.9,80,night,3.5
84,dinner,protein,212,82,yes,37.0,105,afternoon,11.0
169,lunch,protein,138,28,no,37.3,105,night,2.1
205,snack,mixed,270,27,yes,35.7,83,night,12.4
93,dinner,fats,113,9,no,36.4,81,afternoon,19.7
204,breakfast,carbs,527,26,no,36.0,83,morning,10.2
162,breakfast,mixed,259,6,yes,35.9,118,morning,19.4
225,dinner,protein,487,68,no,35.8,76,night,6.3
77,snack,fats,527,8,no,36.6,112,night,8.7
216,lunch,protein,417,47,yes,36.5,94,morning,2.4
125,dinner,fats,214,23,yes,36.4,78,evening,15.8
106,breakfast,carbs,431,0,yes,36.5,73,evening,6.7
84,dinner,protein,233,49,no,36.0,71,afternoon,16.2
208,snack,protein,125,51,yes,37.3,74,afternoon,9.3
146,snack,carbs,322,55,no,36.3,106,night,13.3
196,breakfast,mixed,436,15,yes,36.9,88,night,3.4
175,dinner,protein,133,83,yes,36.6,99,evening,9.4
167,snack,fats,210,45,no,36.9,71,night,15.8
231,lunch,carbs,519,27,no,36.6,115,night,3.7
123,breakfast,mixed,189,41,yes,35.3,62,afternoon,19.6
211,breakfast,fats,479,67,yes,35.9,73,morning,9.4
207,dinner,mixed,285,51,no,37.2,60,morning,6.7
198,dinner,carbs,556,11,yes,35.8,112,night,7.4
86,snack,protein,288,67,yes,36.8,84,afternoon,13.1
246,dinner,mixed,170,83,no,36.3,97,afternoon,15.9
179,dinner,carbs,378,11,no,36.3,97,morning,13.6
160,dinner,mixed,170,27,no,36.7,82,night,14.7
221,breakfast,protein,176,77,yes,36.8,118,afternoon,4.7
77,snack,mixed,436,28,yes,36.9,67,night,3.7
93,lunch,fats,313,17,no,36.3,89,night,13.3
212,dinner,fats,387,41,no,36.0,84,evening,17.3
236,snack,carbs,475,50,yes,37.0,84,evening,13.6
220,snack,protein,202,29,yes,37.4,95,evening,13.6
77,breakfast,carbs,323,30,yes,36.8,82,afternoon,5.9
90,lunch,carbs,485,83,no,35.9,62,night,2.6
246,breakfast,mixed,336,57,yes,36.4,103,night,12.9
100,dinner,protein,144,80,no,36.1,103,evening,2.3
150,dinner,mixed,468,58,yes,37.2,99,evening,12.8
114,dinner,protein,139,72,yes,36.4,87,morning,8.2
84,lunch,fats,285,62,no,36.2,81,morning,16.4
134,dinner,protein,211,20,no,37.0,60,evening,9.2
136,dinner,protein,311,6,yes,36.1,80,evening,11.2
105,dinner,fats,534,73,yes,36.9,117,evening,13.8
203,dinner,fats,300,52,yes,36.4,109,afternoon,16.5
159,breakfast,protein,440,25,no,36.9,109,evening,5.7
215,snack,fats,360,12,no,36.9,111,evening,4.4
84,breakfast,mixed,155,69,no,36.0,101,morning,13.0
74,lunch,protein,241,89,yes,36.4,73,morning,9.3
243,snack,mixed,359,1,yes,35.9,115,night,12.4
248,breakfast,fats,410,62,yes,36.5,68,morning,12.3
209,breakfast,protein,137,11,yes,35.8,105,evening,11.0
137,lunch,carbs,127,17,yes,37.4,119,afternoon,7.8
239,snack,carbs,571,67,yes,36.8,113,afternoon,8.9
73,breakfast,protein,330,78,no,36.3,105,evening,19.2
193,snack,carbs,454,36,yes,36.0,100,afternoon,9.8
175,dinner,fats,557,34,yes,36.5,95,afternoon,16.7
96,snack,mixed,334,66,yes,37.1,77,night,12.0
195,breakfast,fats,435,17,yes,36.6,75,morning,14.0
181,dinner,mixed,275,13,yes,36.6,100,morning,18.9
201,breakfast,mixed,238,47,yes,36.1,68,afternoon,12.3
127,lunch,fats,430,47,yes,37.8,88,morning,6.0
231,breakfast,fats,577,16,yes,36.9,110,evening,9.8
124,breakfast,protein,340,20,yes,35.4,103,night,15.8
228,snack,fats,518,16,yes,36.3,86,morning,14.2
249,breakfast,mixed,556,72,yes,36.0,70,afternoon,6.5
81,dinner,protein,397,44,no,36.4,98,morning,10.1
232,breakfast,mixed,339,69,yes,36.5,118,afternoon,6.2
154,dinner,fats,118,43,yes,36.6,74,morning,14.1
143,breakfast,mixed,504,38,yes,35.6,106,afternoon,15.5
246,snack,mixed,537,63,no,36.5,70,evening,15.9
225,breakfast,carbs,163,84,no,36.0,92,afternoon,6.1
96,dinner,protein,417,47,yes,36.9,103,morning,7.6
78,snack,protein,209,28,yes,35.6,96,night,17.5
110,breakfast,protein,288,45,no,36.7,85,night,17.4
124,breakfast,carbs,221,65,yes,37.2,80,evening,8.6
77,lunch,protein,348,4,no,36.3,93,evening,4.8
198,dinner,protein,217,59,yes,36.7,81,night,13.5
91,breakfast,protein,518,22,yes,36.0,65,evening,2.5
94,lunch,protein,122,84,yes,36.8,107,morning,13.1
80,lunch,carbs,299,61,no,36.8,79,night,18.4
157,dinner,protein,135,21,no,36.0,108,afternoon,8.7
93,dinner,fats,120,61,no,36.5,88,evening,18.7
192,snack,mixed,529,61,yes,36.5,63,morning,7.8
111,breakfast,mixed,421,46,yes,36.8,113,evening,4.6
169,dinner,carbs,549,82,yes,35.6,79,evening,9.0
124,dinner,fats,190,52,no,36.7,63,afternoon,11.5
127,lunch,fats,586,33,yes,37.1,105,afternoon,16.5
105,lunch,fats,364,25,yes,36.8,62,morning,18.4
204,snack,protein,288,35,no,36.9,110,morning,4.6
235,lunch,carbs,413,24,yes,37.6,113,night,7.5
173,snack,mixed,196,37,yes,36.5,95,morning,17.1
200,snack,carbs,308,46,yes,36.6,72,night,5.0
242,dinner,protein,236,52,no,36.3,68,night,8.2
224,dinner,protein,582,88,yes,36.2,80,night,3.2
227,dinner,mixed,505,16,yes,37.2,115,night,9.2
95,dinner,mixed,364,59,no,36.9,98,afternoon,16.1
228,snack,carbs,201,86,yes,36.3,102,afternoon,14.3
70,lunch,carbs,262,70,yes,36.4,101,afternoon,9.4
162,dinner,carbs,442,0,no,36.7,114,afternoon,17.9
180,dinner,carbs,370,34,no,36.9,119,afternoon,4.0
108,snack,carbs,323,37,no,36.3,101,morning,13.5
165,dinner,carbs,318,87,no,35.9,96,morning,18.0
97,breakfast,fats,454,50,no,35.7,104,afternoon,2.2
212,lunch,mixed,598,32,yes,36.5,98,afternoon,11.3
107,snack,fats,453,52,yes,36.7,90,afternoon,8.8
142,breakfast,carbs,234,0,yes,36.5,94,morning,9.5
249,breakfast,carbs,568,38,yes,35.8,93,afternoon,5.6
149,snack,protein,377,19,yes,36.1,90,afternoon,3.9
106,breakfast,carbs,178,31,yes,36.2,93,evening,17.1
242,dinner,mixed,502,19,no,36.4,60,night,13.0
184,snack,carbs,149,54,yes,36.5,93,afternoon,16.0
134,breakfast,mixed,433,65,no,36.9,112,night,19.5
228,lunch,mixed,130,67,no,35.9,99,night,18.8
189,breakfast,fats,384,7,no,36.5,94,night,10.7
223,snack,protein,586,19,yes,36.5,85,morning,15.1
114,snack,protein,483,31,no,36.5,114,morning,4.6
156,dinner,fats,278,54,yes,36.4,114,morning,16.9
221,lunch,carbs,295,71,no,36.0,111,evening,13.2
90,breakfast,protein,180,51,yes,37.5,103,afternoon,17.5
198,snack,protein,437,17,yes,36.7,107,evening,10.4
74,dinner,fats,176,42,yes,37.1,76,afternoon,3.8
83,dinner,protein,252,5,yes,36.1,86,night,9.5
137,snack,carbs,409,69,no,36.6,64,evening,17.6
131,dinner,protein,523,77,no,36.3,67,evening,16.6
218,lunch,protein,391,13,yes,36.3,72,afternoon,12.7
224,breakfast,fats,586,85,yes,36.6,80,morning,14.8
99,snack,carbs,173,25,no,37.0,111,night,12.0
86,snack,fats,178,21,no,35.6,106,afternoon,16.3
126,dinner,fats,126,24,yes,35.8,74,evening,4.5
225,lunch,mixed,208,86,no,36.7,87,morning,6.4
156,snack,mixed,192,17,no,36.9,100,night,4.1
160,lunch,fats,395,52,no,36.4,62,night,10.6
247,snack,carbs,216,18,yes,36.9,108,evening,11.7
123,snack,mixed,339,37,no,36.4,116,evening,4.6
110,lunch,carbs,256,48,no,35.9,119,night,4.1
71,breakfast,carbs,197,4,yes,36.9,72,morning,2.0
214,dinner,fats,268,65,yes,35.9,112,afternoon,8.4
99,breakfast,carbs,291,16,no,36.7,112,night,7.1
158,lunch,carbs,497,71,no,36.3,71,night,5.0
218,breakfast,fats,517,64,yes,36.6,76,night,18.1
184,dinner,mixed,235,40,yes,36.1,106,evening,6.7
144,lunch,fats,269,12,yes,35.3,106,night,14.7
102,snack,fats,380,67,yes,36.0,119,morning,13.9
95,snack,mixed,294,44,no,36.9,77,night,15.8
128,breakfast,protein,354,87,no,36.3,69,night,9.7
217,breakfast,carbs,346,7,no,36.4,108,evening,10.2
179,dinner,fats,591,17,yes,36.4,74,afternoon,15.6
232,breakfast,mixed,176,83,no,36.0,102,afternoon,8.2
121,dinner,fats,322,62,no,36.2,82,afternoon,3.4
71,breakfast,carbs,595,25,yes,35.6,66,afternoon,19.5
125,lunch,mixed,151,32,no,36.4,83,morning,19.1
90,breakfast,carbs,171,12,no,36.4,69,morning,17.1
201,lunch,protein,346,61,yes,36.5,67,night,16.0
144,lunch,fats,359,53,yes,36.4,108,morning,17.6
110,lunch,fats,427,81,no,37.2,60,evening,17.5
235,dinner,protein,540,67,yes,36.5,62,evening,17.5
194,lunch,protein,312,69,yes,37.1,61,morning,13.2
179,lunch,carbs,475,52,yes,34.7,86,morning,7.2
226,dinner,carbs,167,5,yes,36.2,81,afternoon,10.6
159,dinner,mixed,539,61,no,36.0,117,night,15.0
221,dinner,mixed,283,46,yes,36.7,110,morning,11.5
183,dinner,fats,151,63,no,35.9,75,afternoon,10.5
83,dinner,mixed,110,35,yes,36.7,60,afternoon,14.0
71,dinner,fats,304,63,yes,37.1,111,evening,4.5
193,lunch,mixed,135,41,yes,36.8,89,afternoon,14.8
146,snack,mixed,221,21,yes,36.7,102,morning,4.3
171,lunch,fats,419,85,no,35.9,103,night,16.6
132,lunch,protein,416,16,yes,36.2,91,evening,13.7
73,lunch,carbs,177,43,yes,36.8,99,morning,7.0
70,snack,protein,220,70,yes,35.6,105,night,13.5
245,breakfast,mixed,395,79,no,36.3,115,evening,5.5
113,dinner,protein,289,14,yes,37.0,90,night,3.4
138,snack,mixed,292,71,no,36.3,111,morning,7.9
179,breakfast,mixed,226,9,no,36.2,98,morning,12.7
80,dinner,protein,261,74,no,36.4,80,night,13.5
91,lunch,fats,168,78,yes,36.0,62,afternoon,5.2
125,breakfast,protein,141,54,no,35.8,109,afternoon,8.3
222,lunch,mixed,496,70,no,36.7,75,morning,12.6
111,breakfast,carbs,531,14,yes,36.4,63,night,7.6
113,lunch,fats,287,29,no,36.2,88,afternoon,12.5
187,dinner,fats,497,25,no,36.6,94,afternoon,8.9
